gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zfp36,26483.16199837856,-5.171928105085808,0.36015044649973277,-14.36046562027418,9.160959478083476e-47,1.5868614007936198e-42
Jun,76392.09248763799,-5.149348351725578,0.3720391417439555,-13.840877945228296,1.4443169610527472e-43,1.2509229199677844e-39
Jund,21118.646693135543,-3.5307801756763135,0.2816045213803501,-12.5380805619504,4.6205160060495554e-36,2.667885941893013e-32
Neat1,9745.481366602193,4.472161686428588,0.36485620696924076,12.257326587856605,1.5348026030711429e-34,6.646462672599584e-31
Pisd,5540.490269795192,1.0960834235759465,0.09045969769572536,12.116815018139746,8.603814316355875e-34,2.9807054317583297e-30
Ahnak2,1921.6224600457608,4.148251923106673,0.3439074780735591,12.062116085243703,1.674251207108529e-33,4.833563234922324e-30
Trpm4,535.1932639005416,-4.078192373806342,0.3414715328188528,-11.942993725247902,7.063426566254282e-33,1.7478953568665238e-29
Egr1,86534.3642506983,-7.3265832891795,0.6183435057617276,-11.848726833726504,2.1848498560003118e-32,4.730746150704675e-29
Atp1a1,6338.217590730633,-1.979920004096924,0.17268229160804324,-11.465680618780384,1.9621089042371675e-30,3.776405604355135e-27
AI413582,1954.4451636786232,3.342107086208079,0.29172411678035837,11.456396279791912,2.184148874457192e-30,3.783382680334748e-27
Col4a1,26912.52239457452,-3.030228981855017,0.26954684328303946,-11.2419383026241,2.537488549156002e-29,3.9958524225891154e-26
Junb,35354.83435554649,-5.368880364351792,0.4905331855874202,-10.944989089621906,7.022618253356349e-28,1.013714944871989e-24
Fabp4,10567.069842032153,6.7283030403092114,0.6279637783778143,10.714476331246496,8.70484780522857e-27,1.1598874898628408e-23
Serinc5,2604.3271779689153,-3.446381022517676,0.33516207344459353,-10.282729746530839,8.430540397130118e-25,1.0430987197077707e-21
Fcrls,1036.9742080402211,-8.206093134367904,0.8106378397563668,-10.123007750087517,4.367828561164744e-24,5.043968422433046e-21
Atp1b2,2542.3597532018557,-2.465488646172347,0.25022129648479374,-9.853232641699535,6.637411073090913e-23,7.185827163005049e-20
Socs3,21846.302137368522,-5.197540436128026,0.5286487746237306,-9.83174592587945,8.218148260793095e-23,8.373809657262235e-20
Trbc2,979.8681696676732,8.545496134789646,0.887070444577754,9.633390659134525,5.779042272065247e-22,5.56136501315079e-19
Hba-a2,8881.107377382488,4.546904272003983,0.47403160134184935,9.591985553564326,8.640592284422579e-22,7.877491555303575e-19
