gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Itgb2,6854.666794221796,4.842936581151714,0.4035613358955028,12.000496951486287,3.531694735736518e-33,5.879918565527729e-29
Sh3pxd2b,924.9673069838182,3.8087307862841824,0.327467676260447,11.630860272312677,2.871885816013988e-31,2.390701347540844e-27
Crlf2,892.0049332493086,3.388758913968046,0.2948504445026902,11.493145006729428,1.4281606154674755e-30,7.925815362306e-27
Ctss,60083.00139933121,5.171948424666013,0.46650548193225433,11.086575881689383,1.4576086372923557e-28,6.066931550570107e-25
H2-D1,79121.11790162059,2.8386169807977972,0.2631629646471057,10.786536717293426,3.9852606367262666e-27,1.3270120868171124e-23
Adgre5,4367.806680974978,2.556144396819796,0.2379593939834718,10.74193522697129,6.467428364249995e-27,1.794603580606636e-23
Il1rn,740.4748716010989,8.996817268649469,0.8648342730692418,10.402937937138335,2.404045232107531e-25,5.717849867051184e-22
Tnfaip2,8864.562444143274,3.5727701892864285,0.3473252012858165,10.286527369911084,8.104675755360654e-25,1.686684333137494e-21
Icam1,4017.895611831848,2.8170991007788224,0.29238622249047075,9.634855831384582,5.697191612183156e-22,1.0539171461248595e-18
Lgals3bp,9248.375011774873,2.3107244875955852,0.24335697050349672,9.495205675903922,2.197770847979541e-21,3.659068684801138e-18
Csf2ra,3917.5485693270325,3.120213499132643,0.3307323682020366,9.434255002300162,3.93782571958324e-21,5.960078218667396e-18
Pik3r5,1292.147464644333,4.42577560060175,0.47562785736056584,9.305122759549892,1.3383763813625004e-20,1.856885697775356e-17
Stra6l,431.7870231227282,5.914624063676926,0.638200678863799,9.267655550299391,1.9028226430943434e-20,2.4369303219136708e-17
Arhgap30,1409.4304616414395,3.0637738475058893,0.3313771496029571,9.245579700280423,2.3396896450433755e-20,2.7823923500233687e-17
AI607873,1475.0688829534975,4.083000150348424,0.448928079418865,9.094998369524681,9.45878895855626e-20,1.0498625158066879e-16
Creb5,96.88591802489714,6.234638221050057,0.6905604078615205,9.02837485334129,1.7424007211594237e-19,1.813076850411453e-16
Gpr137b,5203.274342798369,3.9570535191111493,0.4398407389038042,8.996559820659497,2.3290115214934713e-19,2.280924283608518e-16
Tcirg1,5282.918808165886,2.8201179139452353,0.31538896099631897,8.941714082307877,3.8317992715046803e-19,3.5442014484045236e-16
Trem2,6631.549192771912,4.745295677006351,0.5317469646275397,8.923973229128213,4.498526292216336e-19,3.7854895750098874e-16
Fabp5,30944.084904238596,5.2100995635496785,0.5839101107487127,8.92277675560213,4.547407742218616e-19,3.7854895750098874e-16
Lilrb4,5623.68443562289,4.667708983164066,0.5244348047854626,8.900456149308296,5.561763615152241e-19,4.4094191632699837e-16
Atp1b2,2542.3597532018557,-2.218643907447415,0.25024061337544456,-8.866042476161564,7.579157213765166e-19,5.735699475089829e-16
Lyz2,155708.734671024,4.577041941844123,0.5189452771586589,8.819893239812199,1.145689027134878e-18,8.293294179464601e-16
Chchd10,6012.7167198446305,-1.936946250243941,0.22113780793328838,-8.759000861708225,1.9698861375768247e-18,1.3665264293548565e-15
Uap1l1,2069.007073766891,1.8164016623880277,0.2076074602548473,8.749211902878223,2.148478893592179e-18,1.4308010039766477e-15
Map4k1,358.19016486470036,8.827465405140345,1.0139793688265217,8.70576431486606,3.154417293174441e-18,2.0199189813100488e-15
Mmp12,28252.32790674474,7.220313985762045,0.831892093059211,8.67938768261394,3.979051958075454e-18,2.45360133518512e-15
Acp5,5242.882787371286,4.145419933252782,0.4806469620589872,8.624666877108103,6.427948583091984e-18,3.822104141424944e-15
Pisd,5540.490269795192,0.7706509124510961,0.09026116495590449,8.538012032390498,1.3655070530595454e-17,7.839423078064957e-15
Adap1,488.4973624732589,7.69064435905684,0.9077896217007801,8.471835516964944,2.4155606856790354e-17,1.340555661862342e-14
Inpp5d,1714.6371218581646,2.748148447202769,0.3277280411642976,8.38545410224772,5.053030874497502e-17,2.713803581597062e-14
Cybb,5792.147815709082,4.230601827988674,0.5097689520864433,8.299057466472135,1.049406024182722e-16,5.4598627801931684e-14
Trpm4,535.1932639005416,-2.8353027160282767,0.3422267662143155,-8.284865463307161,1.1824267399036026e-16,5.965522058380328e-14
Cd68,20574.267093689105,4.534196231730228,0.5495587630134856,8.250612194530621,1.5758515251669483e-16,7.71657413014839e-14
Havcr2,356.2505169762765,6.822367894190269,0.8298812975351554,8.220896066044025,2.0198826010779126e-16,9.608292978670334e-14
Cd300a,3369.4396418189685,3.8622622390108217,0.47202791444834685,8.182275074821792,2.785343264869431e-16,1.2881438893558656e-13
Gm14461,503.07832324222903,7.515931452270922,0.9238746235036399,8.135228808177466,4.11161049427137e-16,1.8501135978141633e-13
Lpin3,429.48453827694925,-5.891292897494345,0.7252534341368554,-8.123081698338648,4.544931555733044e-16,1.9912780387210383e-13
Pld3,19948.667639417206,2.9198077877911044,0.36010471092507446,8.108218801943464,5.1367178207875e-16,2.1928516666228487e-13
Slc11a1,4499.19250009886,3.915574349536661,0.4851656878471621,8.070592062912235,6.995809034929262e-16,2.911830615563432e-13
Gp49a,4671.687123480643,4.770444555185391,0.5926911833733769,8.048786094697414,8.361924609062286e-16,3.3955532394214146e-13
Mgll,4940.492231577463,3.1201388558882113,0.38982359869710187,8.003976327540398,1.2046455851670902e-15,4.77527246367783e-13
Ddhd1,1769.716006668394,2.5330407969678483,0.31897607718573656,7.941162294415214,2.002953921107718e-15,7.755158100586605e-13
Cyth4,2703.05347027551,2.642708965752445,0.3356498158820876,7.8734110394412316,3.451004962471044e-15,1.3058132186404637e-12
Lrrc27,301.6432957828336,6.160755956064389,0.7888292223030102,7.809999657565778,5.71881411957406e-15,2.1158341394841892e-12
Clcn7,3403.0333309971415,1.9372980179794388,0.24818991514213032,7.805708047686028,5.91684086347528e-15,2.1415105116521723e-12
Lgals3,45378.08232374033,4.753242582603602,0.6091742427028589,7.802763559919791,6.056596201909157e-15,2.1454525567145863e-12
Mpeg1,7111.039575344165,3.9211504418908976,0.5048663947596591,7.766709138479211,8.05515278881753e-15,2.7939633079379804e-12
Arhgef2,2555.708763065147,1.8091284796426077,0.2331920848243461,7.7581041440808285,8.62083485365504e-15,2.9291485607857706e-12
Evl,2251.2070273173076,1.8773600189200381,0.24315657912926,7.720786439926222,1.1561412308884937e-14,3.8497190706125066e-12
Vim,18659.170124913882,1.5974028656113648,0.2085788608921504,7.658507956073899,1.8810558969180477e-14,6.140725417213446e-12
Dennd1c,406.7663182257197,3.9147451197367142,0.5148194867297159,7.604112160952418,2.868663857824198e-14,9.184689340175975e-12
Sirpa,8814.227233956846,3.5255125317990794,0.46438368280162395,7.591809665941929,3.1546818557330274e-14,9.90986758794324e-12
Unc93b1,7493.507368157093,1.946516862783516,0.25768095573779165,7.553980297885238,4.221540666877774e-14,1.301563528941631e-11
Sema4d,1434.8321748166263,2.7705356032583217,0.3670842292024368,7.54741114669475,4.439952483229577e-14,1.344013979877986e-11
Sil1,3390.0217946347275,-0.9216315858722677,0.1222983098558552,-7.535930684230492,4.8486410286812476e-14,1.4415182944020374e-11
Cxcl16,3746.1947716705163,2.6298247535665618,0.3498924730497733,7.5160941035518105,5.643693795203463e-14,1.6484536490586393e-11
Arid5a,1529.3072595495348,3.0797939697639447,0.411288609184839,7.488157709662805,6.984706868973508e-14,2.0049721493368954e-11
Lipa,9078.840260555296,3.340905849373457,0.44789377713858053,7.459147726314054,8.708392746708892e-14,2.4573903532195992e-11
Zkscan4,165.68344168289948,-7.691173754778236,1.0356457271673432,-7.426452456685964,1.1154896548904694e-13,3.095297877378571e-11
Rasa4,1911.3228538383048,2.2484033408345905,0.30352137204557017,7.40772659823447,1.284828335240411e-13,3.506738844822557e-11
Serpina3f,435.72464621558487,7.69221593620548,1.0392414650593556,7.4017600286629674,1.343912035379299e-13,3.608837335004831e-11
Slc35f1,154.3378095718585,-6.079224451924185,0.8216673036572634,-7.398644712848366,1.3758140628597338e-13,3.6358616400875726e-11
Mcoln2,285.48975197168994,11.610121774341232,1.5707134281714186,7.391623173335582,1.4504710875973014e-13,3.773264552719917e-11
Pcdhga4,245.24635222011014,-10.556080639931233,1.432362374843352,-7.369699752889475,1.7101274770192845e-13,4.380294209983702e-11
Fbxl16,252.06050918694586,-10.44153507398317,1.4246226137748774,-7.329334079792425,2.3129914249800327e-13,5.834696096135237e-11
Cfp,2365.9421171234058,2.7654370460770696,0.3791041474877552,7.29466312727795,2.994072644096874e-13,7.44004708232371e-11
Ms4a7,6255.718844309856,4.065759139650413,0.5575935299716701,7.291618214897479,3.062539975624483e-13,7.498268831495885e-11
Ahnak2,1921.6224600457608,2.4860234967431003,0.341971911989799,7.26967160044787,3.603624825498645e-13,8.695181118801006e-11
Snx20,439.3754478733795,2.739284795990985,0.3769799670168019,7.2663935372165165,3.692119477319257e-13,8.781442453984045e-11
Laptm5,13899.809383929047,3.4424192105205553,0.47620054242487764,7.2289275291273105,4.868231144785099e-13,1.1415659201341848e-10
Bgn,9368.205678064563,1.8112780586198294,0.2512527724062082,7.208987352750399,5.636949642096215e-13,1.3034663137674985e-10
Pim1,599.7510573680489,3.2162805539382484,0.44634656866155625,7.20579204536689,5.770741686016932e-13,1.3161243606917247e-10
Apobec1,2298.9423391749,3.5712929995729614,0.49605973712129264,7.199320429224307,6.051339206240638e-13,1.3614695465500051e-10
Ncf4,1365.0602756099368,3.8347830751404564,0.5356884259311679,7.158607297655518,8.150078507193427e-13,1.7927695766527732e-10
Psmb8,4222.270667571937,2.235461981764934,0.3123007309720648,7.158042745551229,8.183703995772164e-13,1.7927695766527732e-10
Grhpr,2731.463401287514,-1.7844962998326142,0.24951046908024418,-7.151989679674356,8.552900074972486e-13,1.8493147188080118e-10
Cotl1,2930.179216859847,3.3995426675702523,0.47646921017253285,7.1348632713103415,9.68834165036588e-13,2.0679641043197632e-10
Sfrp1,6033.487319883824,2.8854511574055213,0.40559558880214475,7.114108824327193,1.1263825235877066e-12,2.3738155234445225e-10
Gpnmb,66351.73288954918,6.535819549495707,0.9208446331921168,7.097635490190375,1.269093683058459e-12,2.6085358924988005e-10
Myo1f,3326.520636557039,4.336636962873092,0.6109666316018996,7.09799314490027,1.2658146167238684e-12,2.6085358924988005e-10
Ncf2,2198.8449928426817,3.8093700486948587,0.53872321100307,7.071108077192447,1.5370136788184802e-12,3.120700090079131e-10
Prkaa2,145.21561649438848,-6.85454596980771,0.9699662198098418,-7.066788337383046,1.5856051793750154e-12,3.142707218025552e-10
Ly9,1998.141258556203,3.969917287209851,0.5617486186723305,7.067070848509759,1.5823817505430899e-12,3.142707218025552e-10
Svip,424.3629805912453,-2.6770081204852505,0.37917830443443373,-7.060024503454021,1.6647324604323818e-12,3.260721262792791e-10
Lcp1,9479.592507297179,3.243219116491117,0.4607411314641449,7.039135199813404,1.9343661078506744e-12,3.7447978290239395e-10
Sh3bgrl3,11751.617875664086,2.344538250871069,0.33455014445425174,7.008032397342678,2.4169285123721734e-12,4.625223310630381e-10
Spi1,2616.2744730273866,3.047265867487088,0.4364048852484879,6.982657551489099,2.8964784891292216e-12,5.479939814262774e-10
Ctsa,18590.89371825141,1.904807809062971,0.27410731994673027,6.949131491392311,3.675418582625746e-12,6.875510559790567e-10
Slc36a1,564.9629941078131,3.6229783675523066,0.5256107284414819,6.892892727465828,5.466910106544281e-12,1.0113176262650638e-09
Pla2g7,7081.239794028032,4.671837666427468,0.679312140941169,6.877306299803152,6.099487323443823e-12,1.1159380708573209e-09
Slamf8,1251.5672421607092,4.406368812304679,0.6416237247438964,6.867527870892676,6.532399321744177e-12,1.1821512642143348e-09
Il7r,866.8521098204552,7.267853289029937,1.0601101566854878,6.855752907559545,7.0937900101330645e-12,1.2699409664376923e-09
Srgn,3233.8700174526657,2.5294636981886574,0.3691933019081344,6.851326080715459,7.316851738136452e-12,1.2959389849812105e-09
Grn,18681.068570246152,1.8383139057690119,0.26936569293669926,6.824602961599176,8.816881989389573e-12,1.5451817709615473e-09
Atf3,11230.186770853186,4.852367395497507,0.7147989415047076,6.788436738984104,1.1335506386945614e-11,1.9658838107943495e-09
Cyba,17977.93668254721,2.974764026386909,0.4398117846401814,6.7637205965743314,1.3449233847272601e-11,2.3084154053942424e-09
Scube1,467.0457238366628,-6.632913537704988,0.9849881873501042,-6.734003131092765,1.6505762309297384e-11,2.8041269049744096e-09
Atp5b,27767.96467344298,-0.6855348469247166,0.10186896253612461,-6.729575229369919,1.7015909352123927e-11,2.8615946949849624e-09
Pianp,352.81787042113984,8.092956495408552,1.2047651560488057,6.717455642517522,1.849250322426903e-11,3.078816861808551e-09
Npy,248.999446815328,12.2242417989307,1.8257646222312354,6.6954095013582124,2.150685119019748e-11,3.5452234204514642e-09
Cpe,53040.81374841564,-2.1926358845017813,0.327878312313803,-6.687346500683679,2.2725337138535425e-11,3.6667749199665783e-09
D330050G23Rik,78.83221603334839,-6.601308849625486,0.9872019722931018,-6.686887825286422,2.2796648071711675e-11,3.6667749199665783e-09
Syngr1,2662.9309016224374,4.1595283465544375,0.6221070502373482,6.686193871243673,2.2904954752629238e-11,3.6667749199665783e-09
Fam129b,3256.554359761881,2.7793316277901754,0.4160677984751944,6.679996957168693,2.3894721105404245e-11,3.788792492227383e-09
Mfsd12,2298.176063592239,3.9912220894503956,0.5978997265036998,6.675403771782287,2.465523985901734e-11,3.872500834082827e-09
Nags,392.4965179054957,-12.55900566744154,1.8887979888893447,-6.649205336578379,2.946796558898955e-11,4.585160365337262e-09
Ctsd,120455.64512348177,3.4374236489138403,0.517967438253874,6.636370155818633,3.215018844085189e-11,4.956189697701325e-09
Rin3,952.909834919625,1.9684247705927713,0.2972070041475508,6.623076654060047,3.517984676440085e-11,5.373479530096419e-09
C4b,9609.398807824082,4.623541710635344,0.6983993226565473,6.620197873400672,3.587183666045071e-11,5.4293655323622165e-09
Serinc5,2604.3271779689153,-2.219324249682736,0.3353210320067656,-6.618505962483016,3.628472763499054e-11,5.442382255810427e-09
Nckipsd,889.1198918523487,1.9665863061442432,0.29801099719546614,6.599039379927159,4.1383039008258784e-11,6.151662646861612e-09
Fcrls,1036.9742080402211,-5.337628543664973,0.8112589267643255,-6.579438903623403,4.722268990602021e-11,6.957615612790535e-09
Lss,1222.4673384383902,-3.9648324232519045,0.6037100408642307,-6.567444890557256,5.118594588667469e-11,7.475393097081113e-09
Dnase1l1,1601.9593759475538,2.430789655916982,0.3715804216214838,6.541759238308695,6.079932870141828e-11,8.746808813146467e-09
Grb14,5888.445356967958,-2.0556492069044245,0.3142518032499447,-6.541407831698056,6.094238827106673e-11,8.746808813146467e-09
Fxyd5,4665.2527734505575,2.905058203464245,0.4451219321424187,6.526432408041307,6.735469071109315e-11,9.584514920076837e-09
Cd36,8203.310202428831,4.758056197211315,0.7319644535734452,6.50039243570165,8.011075282347814e-11,1.1303084099644811e-08
Pvrl2,3228.8031374272773,-1.9196850385414335,0.2957559499638969,-6.490774027625718,8.539648567421994e-11,1.1947614201597377e-08
Apoe,243983.39218043044,2.208845166703427,0.34059758709179605,6.485204976241098,8.861123193436355e-11,1.2294070003960157e-08
Slc43a2,1934.0849251976363,2.9055786428621104,0.4493513680764555,6.466161781814665,1.0052345592525063e-10,1.3831529071896676e-08
Pfkfb4,577.2554967555265,2.604343080975718,0.4033041106098452,6.457516827779496,1.0643492037874071e-10,1.452487696217749e-08
Ikbke,1180.5353075983546,3.175000828648181,0.49199229119142807,6.4533548299292915,1.0940079858977918e-10,1.4808243054644174e-08
Hk3,1690.1025951872641,5.748591889606966,0.8934889836673001,6.433869912992138,1.2439533457504328e-10,1.6702080043063676e-08
Sesn3,145.44392546812688,-6.391221451486011,0.9936657056197408,-6.431963401111706,1.2596607571829551e-10,1.6777673557071217e-08
