gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zfp36,26483.16199837856,6.318789710129772,0.3604455687325258,17.53049630308738,8.383452625624093e-69,1.4521816638106053e-64
Jun,76392.09248763799,6.220430937041465,0.3721259341715216,16.715929651316166,1.003428743799346e-62,8.690696350046135e-59
Junb,35354.83435554649,6.5296432809953115,0.4907222977191553,13.306188268486393,2.1307833394346524e-40,1.2303143001895682e-36
Bhlhe40,11114.809791804037,4.28651847099302,0.35670772344160845,12.016892792888195,2.896601559628143e-33,1.2543733053969673e-29
Egr1,86534.3642506983,7.380637860232717,0.6183077239546549,11.936835938303744,7.606190629147385e-33,2.63508868156182e-29
Col4a1,26912.52239457452,3.1857065108451703,0.2695382019000219,11.819128006303256,3.108947245190318e-32,8.975530696864448e-29
Jund,21118.646693135543,3.2729199558127435,0.28154269303024393,11.624950804392425,3.077706227110974e-31,7.616003895145184e-28
Socs3,21846.302137368522,6.003948246878908,0.5287836668023399,11.354261910520002,7.063386903612181e-30,1.5293998493046276e-26
Arid5a,1529.3072595495348,4.642781934525117,0.41089401817001914,11.299220064586176,1.3238852907309802e-29,2.5480378895602266e-26
Ier2,18128.119224452264,5.056226868509159,0.47122845986071266,10.729884332545822,7.368835410695678e-27,1.2764296698407054e-23
Ier3,5845.2278392439885,4.87124164181889,0.45732611541479934,10.65157111659942,1.7144671066827886e-26,2.699818111087206e-23
RP24-152F23.2,899.756999017075,-4.162490396505853,0.4004991869579155,-10.393255547215999,2.661116975270515e-25,3.8413223538029885e-22
Itgb1,17256.035230022786,1.8656744826670242,0.1812018447359917,10.296111970522613,7.336694799187979e-25,9.775863639348782e-22
Atf3,11230.186770853186,7.27140734531646,0.7147408478188373,10.173487869773346,2.604131350971458e-24,3.2220545186805423e-21
Gadd45b,4116.156973149897,3.8890822392620805,0.3897943828108361,9.977265991412244,1.9167543903913245e-23,2.2134679700239015e-20
Plk2,7417.521442160695,4.762170304097765,0.47908010309825944,9.940238121559062,2.7816141230186114e-23,3.011444989933024e-20
Icam1,4017.895611831848,2.8852967039522635,0.2923662962072451,9.868773320940553,5.68556322263118e-23,5.793254478965723e-20
Fos,90140.50723539184,10.019010378177772,1.019156242724424,9.830691270059633,8.30467514237138e-23,7.991865712008725e-20
Ppp1r15a,12328.576056639513,4.3812972166810855,0.45870783137239246,9.551389614545778,1.2796812688421597e-21,1.1666652073096785e-18
Actr3b,2948.647931878628,-3.4663588248510444,0.36406157967395486,-9.521353030318208,1.709387309038068e-21,1.4805003483578705e-18
Adgre5,4367.806680974978,2.2406804702719363,0.2379841251192188,9.415251833076939,4.7194967629105254e-21,3.892910615577911e-18
Gm21847,1173.941964427476,-3.9873609618953805,0.4245565838996862,-9.391824583828642,5.8969727758882196e-21,4.643061928360715e-18
Nfkbia,12183.887446397004,2.2786666475789104,0.24375401448049805,9.348222027995435,8.913340483858429e-21,6.7129079939737266e-18
