gene_name,MNGC,Macrophage,Stroma
mt-Ts1,85425.770956,6584.6819865,80553.27358625
Ftl1,34124.903233,11929.696432499999,10744.119712
Gm23935,34097.01846875,14620.12861325,20723.90852475
Fth1,28666.1886105,7056.61062725,7252.47260975
Apoe,23174.4091495,14690.784708,5607.02656975
mt-Atp8,16772.6817485,2260.14395125,21032.737398
mt-Co3,10696.5210535,1299.72496525,11060.86944475
Lyz2,9183.418235,1956.2073520000001,436.3380955
Gm29216,8350.003392499999,760.0657135,8628.786223
Gm15662,7800.3755814999995,3407.9633027500004,2658.645656
mt-Co2,7120.2368475,626.263292,6794.67634175
Tmsb4x,7004.187733,6164.70016,2407.65102725
Gm37376,5049.50441975,1963.38268325,6615.3943205
Gm10925,4841.634731,384.90658025,5361.4495560000005
mt-Te,4679.911309,329.54980900000004,5023.73239675
B2m,4670.7639925,1628.49852175,965.84468225
Lgals3,4375.50013425,846.85893925,183.38999975
mt-Atp6,4356.2770025,723.8292382499999,5641.1608165
Ctsd,3861.553699,1604.78108225,410.70764575
mt-Cytb,3742.7313572499997,366.25417375,4773.19567125
Ctss,3498.4594202499998,573.815777,113.41361624999999
mt-Co1,3497.22733475,296.7782575,3031.3204895
Malat1,3373.74507625,1512.77975925,4786.9700685
Rps29,3339.43538575,1707.3952382500001,3321.7412555
Cd63,3218.686666,925.9420185000001,1195.7893745000001
Ppia,3092.63542025,2905.8893115,3840.486312
Cyba,2978.877156,613.39581825,431.97379
Cd74,2953.5036005,3703.55811925,779.5200245
Igkc,2918.1467105,65.6938025,997.66317925
H2-D1,2804.62827375,1782.48773525,468.95621074999997
Fabp5,2760.52537325,172.01296925,88.01714125000001
Gstm1,2744.27397925,859.9773815,3416.7768215
Rps27rt,2728.7783485,1321.40049775,4956.40140875
mt-Nd1,2728.5219187499997,302.35642275000004,2689.8258180000003
Tyrobp,2673.8399397499998,356.46361575000003,202.678138
Psap,2651.4289314999996,2959.290386,583.823934
Pfn1,2617.0934310000002,2587.9808555,1634.47797875
Rpl41,2599.91229875,1885.32026825,3825.15454525
Rpl13,2573.8489165,2453.49322675,3857.10343
Cst3,2395.3753245,1791.0986792499998,1754.4086805
Serf2,2384.2523067499997,1103.94785475,2246.30140675
Tmsb10,2303.635438,1393.7267752500002,780.88866375
Igfbp7,2179.06378175,5541.607851000001,1568.3262055
Prdx1,2156.8461187499997,1123.479715,1300.730409
Mt1,2151.9725872500003,2554.55669775,8437.41615475
Rpl37a,2112.88111925,1415.824575,3195.28794775
Crip1,2060.53229225,974.1128239999999,359.06975024999997
Rpl36,2046.0430165,1282.75035325,2991.4230095
Ubb,1986.74832,4576.9336112500005,2348.17976975
Gpx3,1983.7649475,1000.3116755000001,2142.592914
Rpl32,1962.7955195,1505.32471475,3330.3124305
Rps19,1952.32999125,1596.8491517500001,3053.64753225
Itm2b,1930.9424815000002,2406.193549,1414.73238925
Ubc,1905.2780497499998,15481.449143,2287.717736
Mgp,1863.7134935,639.142843,1058.54660375
H2-Ab1,1816.680984,1711.70566675,437.056053
Myl6,1814.60380625,1834.333472,1469.39591375
Rplp1,1807.295002,1337.41837725,1859.57623975
Rn18s-rs5,1786.75560125,766.86229675,1624.61295725
Cox8a,1731.26227025,1285.5978235,2296.616727
