run,gsm,group,Mafb_TPM,Mafb_counts
SRR31588237,GSM8661352,Stroma,74.44,5530
SRR31588238,GSM8661351,Stroma,15.5,1340
SRR31588239,GSM8661350,Stroma,14.33,1443
SRR31588240,GSM8661349,Stroma,42.77,3274
SRR31588241,GSM8661348,MNGC,70.09,6123
SRR31588242,GSM8661347,MNGC,97.88,7374
SRR31588243,GSM8661346,MNGC,54.12,4411
SRR31588244,GSM8661345,MNGC,35.74,2859
SRR31588245,GSM8661344,Macrophage,118.89,5855
SRR31588246,GSM8661343,Macrophage,137.55,7374
SRR31588247,GSM8661342,Macrophage,72.37,3781
SRR31588248,GSM8661341,Macrophage,163.39,6474
