set,set_size,overlap,ratio,pval,genes,padj
C5:GO:BP|GOBP_TISSUE_DEVELOPMENT,1449,179,0.12353347135955832,6.682083475080286e-23,Adrb2;Ajuba;Akr1c18;Alox15;Alpl;Amh;Apold1;Arc;Arg2;Arhgef26;Arrdc3;Atf3;Atrnl1;Axin1;Bmp2;Bmp2k;Bmp3;Bmper;Bmpr1b;Bmx;Btg2;Bves;C1galt1;Calb1;Ccdc103,2.42359167641162e-19
H|HALLMARK_TNFA_SIGNALING_VIA_NFKB,191,50,0.2617801047120419,7.64663008698986e-20,Ackr3;Atf3;Bhlhe40;Bmp2;Btg2;Ccl2;Cd83;Cxcl1;Cxcl10;Cxcl2;Dusp1;Dusp5;Egr1;Ehd1;Ets2;Fos;Fosb;Fosl1;Gem;Hbegf;Ier2;Ier3;Inhba;Irs2;Jag1,2.773432732551222e-16
C5:GO:BP|GOBP_CELL_MIGRATION,1188,149,0.12542087542087543,1.241070913570325e-19,Abcc8;Ackr3;Ackr4;Adamts1;Adgrg1;Adra2a;Ajuba;Amotl2;Anln;Apoa1;Arc;Arhgef16;Atp1b2;Atrnl1;Bcar1;Bmp2;Bmper;Bves;Camk2a;Ccl2;Ccl24;Ccl7;Ccr10;Cd177;Cthrc1,4.501364203519569e-16
C5:GO:CC|GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE,1164,145,0.12457044673539519,7.748327627236705e-19,Abcc8;Ackr4;Adcyap1r1;Adgrg1;Adra2a;Adrb2;Ano1;Aqp5;Asgr1;Atp1b2;Atp4a;Bcam;Bmp2;Cacna1h;Ccr10;Cd14;Cd163;Cd177;Cd83;Cdh4;Cftr;Chrna2;Clcn3;Clstn3;Cnih2,2.810318430398753e-15
C5:GO:BP|GOBP_LOCOMOTION,1409,164,0.11639460610361958,2.4362721359335946e-18,Abcc8;Ackr3;Ackr4;Adamts1;Adgrg1;Adra2a;Ajuba;Amotl2;Anln;Apoa1;Arc;Arhgef16;Arrdc3;Atp1b2;Atrnl1;Bcar1;Bmp2;Bmper;Bmpr1b;Bves;Camk2a;Ccl2;Ccl24;Ccl7;Ccr10,8.836359037031148e-15
C5:GO:BP|GOBP_EPITHELIUM_DEVELOPMENT,868,116,0.1336405529953917,1.979493944118843e-17,Ajuba;Akr1c18;Apold1;Arg2;Arhgef26;Bmp2;Bmper;C1galt1;Calb1;Ccdc103;Ccdc88c;Ccno;Cdh3;Cdsn;Cobl;Col18a1;Col4a1;Crlf1;Cthrc1;Cxcl10;Dab2;Dact2;Dag1;Ddr1;Dll4,7.179624535319044e-14
C5:GO:BP|GOBP_TUBE_DEVELOPMENT,881,115,0.13053348467650397,1.6165525560380842e-16,Abcc8;Ackr3;Adamts1;Adgrf5;Adgrg1;Amotl2;Apold1;Arg2;Bmp2;Bmper;C1galt1;Calb1;Ccdc103;Ccl2;Ccl24;Cobl;Col18a1;Col4a1;Col4a2;Crlf1;Cthrc1;Cx3cr1;Cxcl10;Dact2;Dag1,5.863236120750132e-13
C5:GO:BP|GOBP_CELL_CELL_SIGNALING,1207,142,0.11764705882352941,2.7333409097715466e-16,Abcc8;Ache;Acsl4;Adcyap1;Adgrg1;Adra2a;Adrb2;Amh;Amotl2;Ano1;Arc;Axin1;Bmp2;Bmp3;Calb1;Camk2a;Ccdc88c;Ccl2;Ccl24;Ccl7;Cdh3;Cftr;Chrna2;Clcn3;Clstn3,9.9138274797414e-13
C5:GO:BP|GOBP_TUBE_MORPHOGENESIS,731,99,0.1354309165526676,2.305444584910371e-15,Abcc8;Ackr3;Adamts1;Adgrf5;Adgrg1;Amotl2;Apold1;Bmp2;Bmper;C1galt1;Ccdc103;Ccl2;Ccl24;Cobl;Col18a1;Col4a1;Col4a2;Cthrc1;Cx3cr1;Cxcl10;Dag1;Ddah1;Ddr1;Dll4;Edn2,8.361847509469915e-12
C5:GO:BP|GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,926,115,0.12419006479481641,6.0995241286544946e-15,Abcc8;Ackr3;Adamts1;Adgrg1;Amotl2;Apold1;Axin1;Bmp2;Bmper;Bysl;C1galt1;Cacna1h;Calb1;Ccl2;Ccl24;Cftr;Cobl;Col18a1;Col4a1;Col4a2;Cthrc1;Cx3cr1;Cxcl10;Cyp19a1;Dag1,2.212297401462985e-11
C5:GO:BP|GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT,927,115,0.12405609492988134,6.587579281530182e-15,Abcc8;Ackr3;Adamts1;Adgrf5;Adgrg1;Amotl2;Angptl7;Apold1;Arhgef15;Bmp2;Bmper;Bves;C1galt1;Ccdc103;Ccl2;Ccl24;Col18a1;Col4a1;Col4a2;Cx3cr1;Cxcl10;Dag1;Ddah1;Dll4;Dsp,2.3893150054109968e-11
