set,set_size,overlap,ratio,pval,genes,padj
C5:GO:CC|GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE,290,53,0.18275862068965518,3.967454028020246e-09,Anxa1;B2m;Cd2;Cd200r4;Cd226;Cd27;Cd302;Cd36;Cd3d;Cd3e;Cd3g;Cd4;Cd48;Cd5;Cd79a;Cd84;Cd8a;Cd9;Clec2d;Clec4d;Clec7a;Crlf2;Csf2ra;Ctsk;Cxcr1,8.422904901486982e-06
C5:GO:CC|GOCC_T_CELL_RECEPTOR_COMPLEX,15,10,0.6666666666666666,1.644532583330428e-08,Cd247;Cd3d;Cd3e;Cd3g;Cd4;Cd8a;Cd8b1;Skap1;Trbc1;Trgv2,3.491342674410499e-05
C2:CP:REACTOME|REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,83,23,0.27710843373493976,5.026154848621254e-08,B2m;C3;Cd226;Cd247;Cd300lf;Cd3d;Cd3e;Cd3g;Cd8a;Cd8b1;Fcgr4;H2-T23;Hcst;Ifitm1;Iglc3;Itgb2;Klrd1;Pianp;Pirb;Sh2d1a;Slamf7;Trem2;Tyrobp,0.00010670526743622922
C5:GO:CC|GOCC_IMMUNOGLOBULIN_COMPLEX,14,8,0.5714285714285714,2.5809726636254e-06,Cd79a;Ighm;Igkc;Iglc3;Lime1;Trbc1;Trbc2;Trdc,0.005479404964876724
C5:GO:BP|GOBP_ADAPTIVE_IMMUNE_RESPONSE,336,50,0.1488095238095238,6.718238237147943e-06,Anxa1;B2m;C3;C4b;Ccl19;Cd226;Cd27;Cd4;Cd48;Cd7;Cd79a;Cd84;Cd8a;Cd8b1;Clec4d;Clec7a;Ctss;Eomes;Fcer1g;Fcgr4;H2-T23;Ighm;Igkc;Iglc3;Il17f,0.014262819777465083
C5:GO:BP|GOBP_PHAGOCYTOSIS_RECOGNITION,27,10,0.37037037037037035,1.9389566268875778e-05,C4b;Cd36;Clec7a;Ighm;Igkc;Iglc3;Trbc1;Trbc2;Trdc;Trem2,0.04116404918882328
C5:GO:CC|GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING,10,6,0.6,3.503178082625175e-05,Ighm;Igkc;Iglc3;Trbc1;Trbc2;Trdc,0.07437247069413247
C5:GO:CC|GOCC_ALPHA_BETA_T_CELL_RECEPTOR_COMPLEX,7,5,0.7142857142857143,5.201348069345253e-05,Cd247;Cd3d;Cd3e;Cd3g;Trbc1,0.11042461951219971
C5:GO:CC|GOCC_SIDE_OF_MEMBRANE,465,60,0.12903225806451613,7.172348180986023e-05,Anxa1;B2m;Cd2;Cd200r4;Cd226;Cd27;Cd302;Cd36;Cd3d;Cd3e;Cd3g;Cd4;Cd48;Cd5;Cd79a;Cd84;Cd8a;Cd9;Clec2d;Clec4d;Clec7a;Crlf2;Csf2ra;Ctsk;Cxcr1,0.15226895188233328
C2:CP:KEGG|KEGG_HEMATOPOIETIC_CELL_LINEAGE,64,15,0.234375,8.986999689139017e-05,Cd2;Cd36;Cd37;Cd3d;Cd3e;Cd3g;Cd4;Cd5;Cd7;Cd8a;Cd8b1;Cd9;Csf2ra;Flt3l;Il7r,0.19079400340042132
C5:GO:BP|GOBP_DEFENSE_RESPONSE_TO_BACTERIUM,153,26,0.16993464052287582,0.00012437288486408644,Acp5;Cd36;Cd4;Clec4d;Cyba;Defb19;Fcer1g;H2-T23;Ighm;Igkc;Iglc3;Il17f;Il7r;Lyst;Lyz2;Plac8;Romo1;Rpl39;S100a8;Slamf8;Spn;Tnfrsf14;Trbc1;Trbc2;Trdc,0.2640436345664555
C2:CP:KEGG|KEGG_PRIMARY_IMMUNODEFICIENCY,30,9,0.3,0.00032432484032046514,Cd3d;Cd3e;Cd4;Cd79a;Cd8a;Cd8b1;Icos;Il7r;Lck,0.6885416360003475
C2:CP:KEGG|KEGG_OXIDATIVE_PHOSPHORYLATION,120,21,0.175,0.0003566394649806376,Atp6v0b;Atp6v0d2;Atp6v1f;Cox6b1;Ndufa1;Ndufa3;Ndufb4;Tcirg1;mt-Atp6;mt-Atp8;mt-Co1;mt-Co2;mt-Co3;mt-Cytb;mt-Nd1;mt-Nd2;mt-Nd3;mt-Nd4;mt-Nd4l;mt-Nd5;mt-Nd6,0.7571455841538937
C2:CP:REACTOME|REACTOME_PD_1_SIGNALING,14,6,0.42857142857142855,0.0003814344009944943,Cd247;Cd3d;Cd3e;Cd3g;Cd4;Lck,0.8097852333113114
C2:CP:REACTOME|REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,26,8,0.3076923076923077,0.0005764428338970257,Cd247;Cd3d;Cd3e;Cd3g;Cd4;Grap2;Lat;Lck,1.0
