set,set_size,overlap,ratio,pval,genes,padj
C2:CP:REACTOME|REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,32,9,0.28125,1.5499879963293492e-07,Cdsn;Dsc2;Dsp;Krt18;Krt7;Krt8;Lor;Prss8;Tchh,0.00026752792816644565
C2:CP:REACTOME|REACTOME_KERATINIZATION,32,9,0.28125,1.5499879963293492e-07,Cdsn;Dsc2;Dsp;Krt18;Krt7;Krt8;Lor;Prss8;Tchh,0.00026752792816644565
C5:GO:CC|GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE,1164,64,0.054982817869415807,1.5832159120303722e-07,Ackr4;Adcyap1r1;Adgrg7;Amhr2;Aqp5;Asgr1;Atp1b2;Atp4a;Cacna1h;Caly;Cd163;Cd177;Cdh4;Cftr;Clstn3;Cnih2;Cspg5;Fcrl5;Fcrls;Folr1;Fzd4;Gabrb1;Gpr37;Grik3;Grik4,0.0002732630664164422
C5:GO:CC|GOCC_SODIUM_CHANNEL_COMPLEX,16,6,0.375,2.9419752680877408e-06,Cacna1h;Grik3;Grik4;Grik5;Scn4b;Trpm4,0.00507784931271944
C5:GO:BP|GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,304,24,0.07894736842105263,5.317048161376607e-06,Atp1b2;Bves;Cacna1h;Cftr;Cnih2;Dsc2;Dsp;Gabrb1;Grik3;Grik4;Grik5;Grin2c;Igsf11;Kcna5;Kcnh1;Kcnk1;Kcnn2;Mapt;Nrxn1;P2rx1;Rims4;Scn4b;Slc8a3;Trpm4,0.009177225126536024
C5:GO:BP|GOBP_CELL_CELL_SIGNALING,1207,60,0.04971002485501243,1.0121491244038515e-05,Acsl4;Adcyap1;Agt;Amh;Calb1;Ccl24;Cftr;Clstn3;Cnih2;Cntn4;Cpe;Cspg5;Cthrc1;Cxxc4;Cyp19a1;Dhh;Fcrls;Folr1;Fzd3;Fzd4;Gabrb1;Grik3;Grik4;Grik5;Grin2c,0.017469693887210477
C5:GO:CC|GOCC_ION_CHANNEL_COMPLEX,179,17,0.09497206703910614,1.185048672890951e-05,Cacna1h;Cftr;Clic3;Cnih2;Gabrb1;Grik3;Grik4;Grik5;Grin2c;Kcna5;Kcnf1;Kcnh1;Kcnk1;Lrrc8e;Scn4b;Trpc3;Trpm4,0.020453940094097813
C5:GO:BP|GOBP_DIVALENT_INORGANIC_CATION_HOMEOSTASIS,365,26,0.07123287671232877,1.3752987550091356e-05,Ackr4;Adcyap1;Adcyap1r1;Agt;Calb1;Edn2;Esr1;Fpr1;Fpr2;Grin2c;Kcna5;Mt2;P2rx1;Pla2g1b;Prkd1;Ptgfr;Rgn;Ric3;Slc1a1;Slc30a2;Slc8a3;Stc1;Tmem178;Tnni3;Trpc3,0.02373765651145768
C5:GO:BP|GOBP_REGULATION_OF_HEART_CONTRACTION,164,16,0.0975609756097561,1.5220407949650958e-05,Agt;Atp1b2;Bves;Cacna1h;Dsc2;Dsp;Edn2;Kcna5;Kcnn2;Myl4;Scn4b;Slc1a1;Slc8a3;Stc1;Tnni3;Trpm4,0.026270424121097553
C5:GO:BP|GOBP_CELLULAR_ION_HOMEOSTASIS,494,31,0.06275303643724696,2.5959359585934606e-05,Ackr4;Adcyap1;Adcyap1r1;Agt;Atp1b2;Atp4a;Calb1;Cftr;Cybrd1;Edn2;Esr1;Fpr1;Fpr2;Grin2c;Kcna5;Mt2;P2rx1;Pla2g1b;Prkd1;Ptgfr;Rgn;Ric3;Slc1a1;Slc30a2;Slc8a3,0.04480585464532313
C5:GO:BP|GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,251,20,0.0796812749003984,2.8111817237658055e-05,Ackr4;Adcyap1;Adcyap1r1;Agt;Calb1;Edn2;Esr1;Fpr1;Fpr2;Grin2c;Kcna5;P2rx1;Pla2g1b;Prkd1;Ptgfr;Ric3;Slc8a3;Tmem178;Trpc3;Trpm4,0.048520996552197805
C5:GO:BP|GOBP_REPRODUCTION,1040,52,0.05,3.541250435497622e-05,Acsl4;Adcyap1;Adcyap1r1;Agt;Amh;Amhr2;Bmp15;Cacna1h;Cdkn1b;Cftr;Cyp19a1;Dhh;Dnd1;Eme1;Esr1;Fignl1;Folr1;Fst;Fzd4;Gabrb1;Hsf2bp;Idh1;Igfbp5;Klc3;Lgr4,0.061121982516688954
C5:GO:BP|GOBP_REGULATION_OF_BLOOD_CIRCULATION,197,17,0.08629441624365482,4.098324035468944e-05,Agt;Atp1b2;Bves;Cacna1h;Dsc2;Dsp;Edn2;Kcna5;Kcnn2;Myl4;P2rx1;Scn4b;Slc1a1;Slc8a3;Stc1;Tnni3;Trpm4,0.07073707285219398
