set,set_size,overlap,ratio,pval,genes,padj
C5:GO:BP|GOBP_IMMUNE_RESPONSE,1161,197,0.16968130921619293,3.119833470947709e-74,Adam8;Adcy7;Adgre1;Adgre5;Aif1;Anxa1;Apbb1ip;Apoe;Arid5a;Ass1;B2m;Bcl2;Blnk;Bst1;C1qb;C3;C3ar1;C4b;Card11;Casp1;Ccl11;Ccl19;Ccl21a;Ccl22;Ccl3,8.932083227323291e-71
C5:GO:BP|GOBP_DEFENSE_RESPONSE,1150,182,0.1582608695652174,4.3284731866737515e-63,Abcd2;Acp5;Adam8;Adcy7;Adgre5;Aif1;Akna;Alox5ap;Anxa1;Apod;Apoe;Arid5a;Ass1;Bcl2;Blnk;Bst1;C1qb;C3;C3ar1;C4b;Casp1;Casp12;Ccdc88b;Ccl11;Ccl19,1.239241873344695e-59
C5:GO:BP|GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,1072,172,0.16044776119402984,3.131561834691982e-60,Adam8;Adcy7;Adgre5;Aif1;Anxa1;Apod;Apoe;Arid5a;B2m;Bcl2;Blnk;Bst1;C1qb;C3;C3ar1;C4b;Card11;Ccdc88b;Ccl19;Ccl21a;Ccl3;Ccl5;Ccr7;Cd2;Cd22,8.965661532723144e-57
C5:GO:BP|GOBP_CELL_ACTIVATION,834,151,0.18105515587529977,1.6144276841592348e-59,Adam8;Adgre5;Aif1;Anxa1;Apbb1ip;Apoe;B2m;Bcl2;Blnk;Bst1;Card11;Ccdc88b;Ccl19;Ccl21a;Ccl3;Ccl5;Ccr7;Cd2;Cd22;Cd300a;Cd300lf;Cd33;Cd3d;Cd3e;Cd3g,4.6221064597478895e-56
C5:GO:BP|GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,670,129,0.1925373134328358,1.2693857254872602e-53,Adam8;Adgre5;Aif1;Anxa1;Arid5a;B2m;Bcl2;Blnk;Bst1;C1qb;C3;C3ar1;C4b;Card11;Ccdc88b;Ccl19;Ccl21a;Ccl3;Ccl5;Ccr7;Cd2;Cd22;Cd247;Cd300a;Cd36,3.634251332070026e-50
C5:GO:BP|GOBP_LYMPHOCYTE_ACTIVATION,594,117,0.19696969696969696,1.5062756843627455e-49,Adam8;Aif1;Anxa1;Apbb1ip;B2m;Bcl2;Blnk;Bst1;Card11;Ccdc88b;Ccl19;Ccl21a;Ccl5;Ccr7;Cd2;Cd22;Cd300a;Cd3d;Cd3e;Cd3g;Cd4;Cd44;Cd48;Cd74;Cd84,4.31246728433054e-46
C5:GO:BP|GOBP_REGULATION_OF_CELL_ACTIVATION,485,106,0.21855670103092784,2.4426595806491474e-49,Adam8;Adgre5;Aif1;Anxa1;Apoe;B2m;Bcl2;Bst1;Card11;Ccdc88b;Ccl19;Ccl21a;Ccl3;Ccl5;Ccr7;Cd2;Cd22;Cd300a;Cd300lf;Cd33;Cd3e;Cd4;Cd74;Cd84;Cd9,6.993334379398509e-46
C5:GO:BP|GOBP_INFLAMMATORY_RESPONSE,600,115,0.19166666666666668,2.0965261985581527e-47,Abcd2;Acp5;Adam8;Adcy7;Adgre5;Aif1;Akna;Alox5ap;Anxa1;Apod;Apoe;Ass1;Blnk;Bst1;C3;C3ar1;C4b;Casp1;Casp12;Ccl11;Ccl19;Ccl21a;Ccl22;Ccl3;Ccl5,6.002354506471991e-44
C5:GO:BP|GOBP_REGULATION_OF_IMMUNE_RESPONSE,649,118,0.18181818181818182,3.46786765372957e-46,Adam8;Adcy7;Adgre5;Anxa1;Apoe;Arid5a;B2m;Bcl2;Blnk;C1qb;C3;C3ar1;C4b;Card11;Ccl19;Ccl5;Ccr7;Cd22;Cd247;Cd300a;Cd300lf;Cd33;Cd36;Cd4;Cd48,9.92850509262776e-43
C5:GO:BP|GOBP_T_CELL_ACTIVATION,402,92,0.22885572139303484,1.5685463530093496e-44,Adam8;Aif1;Anxa1;Apbb1ip;B2m;Bcl2;Card11;Ccdc88b;Ccl19;Ccl21a;Ccl5;Ccr7;Cd2;Cd300a;Cd3d;Cd3e;Cd3g;Cd4;Cd44;Cd48;Cd74;Cd84;Cd8a;Cd8b1;Chd7,4.4907482086657677e-41
C5:GO:BP|GOBP_IMMUNE_EFFECTOR_PROCESS,456,96,0.21052631578947367,4.052067070537363e-43,Adgre5;Anxa1;Apbb1ip;Arid5a;B2m;C1qb;C3;C4b;Ccl19;Ccl3;Cd22;Cd300a;Cd36;Cd74;Cd84;Cd8a;Cfp;Clec4d;Clec4e;Clec7a;Coro1a;Csf2rb2;Dnase1l3;Dock2;Fcer1g,1.1601068022948471e-39
C5:GO:BP|GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE,402,88,0.21890547263681592,6.196182939792332e-41,Adam8;Anxa1;Arid5a;B2m;Bcl2;Blnk;C1qb;C3;C3ar1;C4b;Card11;Ccl19;Ccl5;Ccr7;Cd22;Cd247;Cd300a;Cd4;Cd74;Cd8a;Cd8b1;Cfp;Clec4n;Clec7a;Cmklr1,1.7739671756625449e-37
