set,set_size,overlap,ratio,pval,genes,padj
C5:GO:CC|GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,137,29,0.2116788321167883,3.39155906643409e-12,Atp5j;Cox6b1;Cox6c;Cox7a1;Cox7c;Dnajc15;Mtx3;Ndufa1;Ndufa3;Ndufa6;Ndufb3;Ndufb4;Romo1;Timm10;Uqcr10;Uqcr11;mt-Atp6;mt-Atp8;mt-Co1;mt-Co2;mt-Co3;mt-Cytb;mt-Nd1;mt-Nd2;mt-Nd3,4.337804045969201e-09
C2:CP:KEGG|KEGG_OXIDATIVE_PHOSPHORYLATION,120,26,0.21666666666666667,2.567611467456175e-11,Atp5j;Cox17;Cox6b1;Cox6c;Cox7a1;Cox7c;Ndufa1;Ndufa3;Ndufa6;Ndufb3;Ndufb4;Uqcr10;Uqcr11;mt-Atp6;mt-Atp8;mt-Co1;mt-Co2;mt-Co3;mt-Cytb;mt-Nd1;mt-Nd2;mt-Nd3;mt-Nd4;mt-Nd4l;mt-Nd5,3.2839750668764475e-08
C2:CP:KEGG|KEGG_PARKINSONS_DISEASE,117,25,0.21367521367521367,8.524221540026801e-11,Atp5j;Cox6b1;Cox6c;Cox7a1;Cox7c;Ndufa1;Ndufa3;Ndufa6;Ndufb3;Ndufb4;Uqcr10;Uqcr11;mt-Atp6;mt-Atp8;mt-Co1;mt-Co2;mt-Co3;mt-Cytb;mt-Nd1;mt-Nd2;mt-Nd3;mt-Nd4;mt-Nd4l;mt-Nd5;mt-Nd6,1.0902479349694278e-07
C5:GO:BP|GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,83,21,0.25301204819277107,9.620251354992435e-11,Cox7a1;Cox7c;Dnajc15;Ndufa1;Ndufa3;Ndufa6;Ndufb3;Ndufb4;Uqcc3;Uqcr10;mt-Co1;mt-Co2;mt-Co3;mt-Cytb;mt-Nd1;mt-Nd2;mt-Nd3;mt-Nd4;mt-Nd4l;mt-Nd5;mt-Nd6,1.2304301483035325e-07
C5:GO:CC|GOCC_RESPIRASOME,92,22,0.2391304347826087,1.1384043072711126e-10,Cox6b1;Cox6c;Cox7a1;Cox7c;Ndufa1;Ndufa3;Ndufa6;Ndufb3;Ndufb4;Uqcr10;Uqcr11;mt-Co1;mt-Co2;mt-Co3;mt-Cytb;mt-Nd1;mt-Nd2;mt-Nd3;mt-Nd4;mt-Nd4l;mt-Nd5;mt-Nd6,1.4560191089997529e-07
C2:CP:KEGG|KEGG_RIBOSOME,81,20,0.24691358024691357,4.316175319133384e-10,Rpl12;Rpl13a;Rpl17;Rpl23;Rpl31;Rpl34;Rpl35a;Rpl36a;Rpl36al;Rpl39;Rpl9;Rps15;Rps15a;Rps17;Rps18;Rps21;Rps24;Rps25;Rps27a;Rps8,5.520388233171598e-07
C5:GO:CC|GOCC_CYTOSOLIC_RIBOSOME,91,21,0.23076923076923078,6.120205251044803e-10,Hba-a1;Rpl12;Rpl13a;Rpl17;Rpl23;Rpl31;Rpl34;Rpl35a;Rpl36a;Rpl36al;Rpl39;Rpl9;Rps15;Rps15a;Rps17;Rps18;Rps21;Rps24;Rps25;Rps27a;Rps8,7.827742516086304e-07
C2:CP:REACTOME|REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,121,24,0.19834710743801653,1.0189660074732197e-09,Atp5j;Cox20;Cox6b1;Cox6c;Cox7c;Ndufa1;Ndufa3;Ndufa6;Ndufb3;Ndufb4;Uqcr10;Uqcr11;mt-Atp6;mt-Atp8;mt-Co1;mt-Co2;mt-Co3;mt-Cytb;mt-Nd1;mt-Nd2;mt-Nd3;mt-Nd4;mt-Nd5;mt-Nd6,1.303257523558248e-06
C2:CP:REACTOME|REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,94,21,0.22340425531914893,1.1580518923073565e-09,Ddit3;Rpl12;Rpl13a;Rpl17;Rpl23;Rpl31;Rpl34;Rpl35a;Rpl36a;Rpl36al;Rpl39;Rpl9;Rps15;Rps15a;Rps17;Rps18;Rps21;Rps24;Rps25;Rps27a;Rps8,1.481148370261109e-06
C2:CP:REACTOME|REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,86,20,0.23255813953488372,1.3543484946076637e-09,Rpl12;Rpl13a;Rpl17;Rpl23;Rpl31;Rpl34;Rpl35a;Rpl36a;Rpl36al;Rpl39;Rpl9;Rps15;Rps15a;Rps17;Rps18;Rps21;Rps24;Rps25;Rps27a;Rps8,1.7322117246032019e-06
C5:GO:BP|GOBP_OXIDATIVE_PHOSPHORYLATION,123,24,0.1951219512195122,1.444692190411336e-09,Atp5j;Cox7a1;Cox7c;Dnajc15;Ndufa1;Ndufa3;Ndufa6;Ndufb3;Ndufb4;Uqcc3;Uqcr10;mt-Atp6;mt-Atp8;mt-Co1;mt-Co2;mt-Co3;mt-Cytb;mt-Nd1;mt-Nd2;mt-Nd3;mt-Nd4;mt-Nd4l;mt-Nd5;mt-Nd6,1.8477613115360987e-06
C2:CP:REACTOME|REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,101,21,0.2079207920792079,4.628374888336703e-09,Cox20;Cox6b1;Cox6c;Cox7c;Ndufa1;Ndufa3;Ndufa6;Ndufb3;Ndufb4;Uqcr10;Uqcr11;mt-Co1;mt-Co2;mt-Co3;mt-Cytb;mt-Nd1;mt-Nd2;mt-Nd3;mt-Nd4;mt-Nd5;mt-Nd6,5.919691482182643e-06
C5:GO:BP|GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN,103,21,0.20388349514563106,6.712912834070531e-09,Cox7a1;Cox7c;Dnajc15;Ndufa1;Ndufa3;Ndufa6;Ndufb3;Ndufb4;Uqcc3;Uqcr10;mt-Co1;mt-Co2;mt-Co3;mt-Cytb;mt-Nd1;mt-Nd2;mt-Nd3;mt-Nd4;mt-Nd4l;mt-Nd5;mt-Nd6,8.58581551477621e-06
C2:CP:REACTOME|REACTOME_NONSENSE_MEDIATED_DECAY_NMD,109,21,0.1926605504587156,1.9340296972885944e-08,Rpl12;Rpl13a;Rpl17;Rpl23;Rpl31;Rpl34;Rpl35a;Rpl36a;Rpl36al;Rpl39;Rpl9;Rps15;Rps15a;Rps17;Rps18;Rps21;Rps24;Rps25;Rps27a;Rps8;Smg1,2.4736239828321124e-05
C5:GO:CC|GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX,260,34,0.13076923076923078,3.4841869752195416e-08,Atp5j;Cox6b1;Cox6c;Cox7a1;Cox7c;Dnajc15;Mrpl33;Mrpl47;Mrps21;Mrps33;Mtx3;Ndufa1;Ndufa3;Ndufa6;Ndufb3;Ndufb4;Romo1;Timm10;Timm8b;Uqcr10;Uqcr11;mt-Atp6;mt-Atp8;mt-Co1;mt-Co2,4.456275141305794e-05
C2:CP:REACTOME|REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,106,20,0.18867924528301888,6.058056850891185e-08,Rpl12;Rpl13a;Rpl17;Rpl23;Rpl31;Rpl34;Rpl35a;Rpl36a;Rpl36al;Rpl39;Rpl9;Rps15;Rps15a;Rps17;Rps18;Rps21;Rps24;Rps25;Rps27a;Rps8,7.748254712289826e-05
C2:CP:REACTOME|REACTOME_SELENOAMINO_ACID_METABOLISM,108,20,0.18518518518518517,8.386479746317067e-08,Rpl12;Rpl13a;Rpl17;Rpl23;Rpl31;Rpl34;Rpl35a;Rpl36a;Rpl36al;Rpl39;Rpl9;Rps15;Rps15a;Rps17;Rps18;Rps21;Rps24;Rps25;Rps27a;Rps8,0.00010726307595539529
C5:GO:CC|GOCC_RIBOSOMAL_SUBUNIT,165,25,0.15151515151515152,1.3324867541744403e-07,Hba-a1;Mrpl33;Mrpl47;Mrps21;Mrps33;Rpl12;Rpl13a;Rpl17;Rpl23;Rpl31;Rpl34;Rpl35a;Rpl36a;Rpl36al;Rpl39;Rpl9;Rps15;Rps15a;Rps17;Rps18;Rps21;Rps24;Rps25;Rps27a;Rps8,0.0001704250558589109
