set,set_size,overlap,ratio,pval,genes,padj
H|HALLMARK_TNFA_SIGNALING_VIA_NFKB,191,76,0.39790575916230364,9.878030483520833e-54,Ackr3;Atf3;Bhlhe40;Btg2;Ccl2;Ccl4;Ccnl1;Ccrl2;Cd69;Cd83;Cdkn1a;Cebpd;Cxcl1;Cxcl10;Cxcl2;Dusp1;Dusp5;Egr1;Egr2;Ehd1;Ets2;Fos;Fosb;Fut4;Gadd45b,3.4286643808300812e-50
C5:GO:BP|GOBP_CELL_MIGRATION,1188,167,0.14057239057239057,5.575112775619908e-45,Ace;Ackr3;Actn4;Acvrl1;Adam15;Adam8;Adamts1;Adgra2;Adgre5;Akap12;Arc;Arhgap24;Atrnl1;C3ar1;C5ar1;Camk2a;Cass4;Ccl11;Ccl2;Ccl22;Ccl3;Ccl4;Ccr7;Ccrl2;Cd300a,1.9351216444176702e-41
C5:GO:BP|GOBP_BIOLOGICAL_ADHESION,1180,161,0.13644067796610168,1.4682456248121974e-41,Ackr3;Actn4;Acvrl1;Adam15;Adam19;Adam8;Adgre1;Adgre5;Alcam;Alox12;Alox15;Ass1;Atp2a2;Atrnl1;Bcam;Card11;Cass4;Ccl11;Ccl2;Ccl4;Ccr7;Cd300a;Cd33;Cd34;Cd36,5.096280563723137e-38
C5:GO:BP|GOBP_LOCOMOTION,1409,178,0.1263307310149042,1.5005525558757935e-41,Ace;Ackr3;Actn4;Acvrl1;Adam15;Adam8;Adamts1;Adgra2;Adgre5;Akap12;Alcam;Arc;Arhgap24;Arrdc3;Atrnl1;Bdnf;C3ar1;C5ar1;Camk2a;Cass4;Ccl11;Ccl2;Ccl22;Ccl3;Ccl4,5.208417921444879e-38
C5:GO:BP|GOBP_VASCULATURE_DEVELOPMENT,632,110,0.17405063291139242,1.0221393057856495e-37,Ace;Ackr3;Acvrl1;Adam15;Adam8;Adamts1;Adgra2;Adgrf5;Ahr;Angptl7;Apold1;Arhgap24;Arhgef15;Brca1;C3ar1;C5ar1;Calcrl;Ccl11;Ccl2;Cd34;Cdh5;Chd7;Cldn5;Clec14a;Clic4,3.5478455303819894e-34
C5:GO:CC|GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE,1164,153,0.13144329896907217,2.155350284027429e-37,Abcc3;Acvrl1;Adam8;Adcy4;Adgre1;Adgre5;Alcam;Art3;Atp2a2;Atp8b1;Bcam;C3ar1;C5ar1;Cacna1g;Calcrl;Ccrl2;Cd14;Cd33;Cd34;Cd36;Cd69;Cd83;Col17a1;Csf1r;Csf2rb2,7.481220835859206e-34
C5:GO:BP|GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT,927,131,0.1413160733549083,4.4618155312437654e-35,Ace;Ackr3;Acvrl1;Adam15;Adam8;Adamts1;Adgra2;Adgrf5;Ahr;Angptl7;Apold1;Arhgap24;Arhgef15;Brca1;C3ar1;C5ar1;Cacna1g;Calcrl;Ccl11;Ccl2;Ccm2l;Cd34;Cdh5;Cdkn1a;Chd7,1.548696170894711e-31
C5:GO:BP|GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,1129,144,0.1275465013286094,1.3059224399118629e-33,Ace;Acvrl1;Adam8;Akap12;Arfgef2;Arid5a;Atp2a2;Bdnf;Brca1;C3ar1;C5ar1;Card11;Ccl11;Ccl3;Ccr7;Cd14;Cd34;Cd36;Cd83;Cdh5;Chd7;Clec4e;Col1a1;Csf1r;Cst7,4.532856788934076e-30
C5:GO:BP|GOBP_BLOOD_VESSEL_MORPHOGENESIS,533,95,0.17823639774859287,2.1184378286381976e-33,Ace;Ackr3;Acvrl1;Adam15;Adam8;Adamts1;Adgra2;Adgrf5;Apold1;Arhgap24;Brca1;C3ar1;C5ar1;Calcrl;Ccl11;Ccl2;Cd34;Cdh5;Chd7;Cldn5;Clec14a;Clic4;Col18a1;Col3a1;Col4a1,7.353097703203184e-30
C5:GO:BP|GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT,1056,135,0.1278409090909091,1.5724503573380058e-31,Ace;Acvrl1;Adam8;Adamts1;Adgra2;Angptl7;Apold1;Bdnf;Bhlhe40;Brca1;C3ar1;C5ar1;Card11;Ccl11;Ccl3;Cd34;Cd83;Cdh5;Chd7;Cldn5;Col4a2;Comp;Csf3r;Cst7;Cxcl10,5.457975190320219e-28
C5:GO:BP|GOBP_TISSUE_DEVELOPMENT,1449,162,0.11180124223602485,4.582854528397353e-31,Acvrl1;Adam15;Alox15;Apold1;Arc;Arhgap24;Arid5a;Arrdc3;Atf3;Atp2a2;Atrnl1;Bmp3;Btg2;Cacna1g;Ccl11;Ccl3;Cd34;Cdh5;Chd7;Cldn5;Clic4;Col17a1;Col18a1;Col19a1;Col1a1,1.5907088068067214e-27
C5:GO:BP|GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,926,123,0.132829373650108,3.0702982734666406e-30,Ace;Ackr3;Acvrl1;Adam15;Adam8;Adamts1;Adgra2;Apold1;Arhgap24;Atp8b1;Brca1;C3ar1;C5ar1;Calcrl;Ccl11;Ccl2;Cd34;Cd36;Cdh5;Cldn5;Clec14a;Clic4;Col18a1;Col1a1;Col4a1,1.065700530720271e-26
C5:GO:BP|GOBP_INFLAMMATORY_RESPONSE,600,96,0.16,7.256475369874658e-30,Abcd2;Ace;Adam8;Adgre5;Alox15;Aoah;Arel1;Ass1;Bcl6b;Blnk;C3ar1;C5ar1;Calcrl;Ccl11;Ccl2;Ccl22;Ccl3;Ccl4;Ccr7;Ccrl2;Cd14;Cd36;Cdh5;Csf1r;Cst7,2.5187226008834937e-26
C5:GO:BP|GOBP_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT,848,116,0.13679245283018868,1.1808363759737777e-29,Ace;Ackr3;Actn4;Acvrl1;Adam15;Adam8;Adamts1;Adgra2;Akap12;Atp2a2;C3ar1;C5ar1;Camk2a;Cass4;Ccl11;Ccl2;Ccl3;Ccl4;Ccr7;Cd300a;Cdh5;Cldn5;Clic4;Col1a1;Col3a1,4.0986830610049824e-26
C5:GO:BP|GOBP_TUBE_MORPHOGENESIS,731,106,0.14500683994528044,3.15781488748963e-29,Ace;Ackr3;Acvrl1;Adam15;Adam8;Adamts1;Adgra2;Adgrf5;Apold1;Arhgap24;Brca1;C3ar1;C5ar1;Calcrl;Ccl11;Ccl2;Cd34;Cdh5;Chd7;Cldn5;Clec14a;Clic4;Col18a1;Col3a1;Col4a1,1.0960775474476505e-25
C5:GO:BP|GOBP_TUBE_DEVELOPMENT,881,114,0.12939841089670828,5.5407274939080924e-27,Ace;Ackr3;Acvrl1;Adam15;Adam8;Adamts1;Adgra2;Adgrf5;Apold1;Arhgap24;Ass1;Brca1;C3ar1;C5ar1;Calcrl;Ccl11;Ccl2;Cd34;Cdh5;Chd7;Cldn5;Clec14a;Clic4;Col18a1;Col3a1,1.923186513135499e-23
C5:GO:BP|GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,1072,128,0.11940298507462686,5.743702100724191e-27,Adam8;Adgre5;Adgrf5;Ahr;Alox15;Arid5a;Bcl6b;Blnk;C3ar1;C5ar1;Card11;Ccl2;Ccl3;Ccl4;Ccr7;Cd14;Cd300a;Cd33;Cd36;Cd83;Cdkn1a;Cfp;Clec4e;Col3a1;Coro1a,1.993638999161367e-23
C5:GO:BP|GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION,1277,142,0.11119812059514488,8.44735411599884e-27,Ace;Ackr3;Acvrl1;Adamts1;Ahr;Atf3;Bche;Bcl6b;Btg2;C5ar1;Calcrl;Card11;Ccl11;Ccl2;Ccl3;Cd300a;Cd33;Cdh5;Cdkn1a;Cldn5;Cnn1;Col18a1;Comp;Coro1a;Csf1r,2.932076613663197e-23
C5:GO:BP|GOBP_IMMUNE_RESPONSE,1161,133,0.11455641688199827,2.7533878962065605e-26,Ackr3;Adam15;Adam8;Adgre1;Adgre5;Ahr;Alcam;Alox15;Arid5a;Ass1;Bcl6b;Blnk;C3ar1;C5ar1;Card11;Ccl11;Ccl2;Ccl22;Ccl3;Ccl4;Ccr7;Ccrl2;Cd14;Cd300a;Cd33,9.557009387732971e-23
C5:GO:BP|GOBP_REGULATION_OF_CELL_DIFFERENTIATION,1190,135,0.1134453781512605,2.8039858006204446e-26,Ace;Actn4;Acvrl1;Adam8;Adgra2;Ankle1;Apold1;Bcl6b;Bdnf;Bhlhe40;Card11;Cass4;Ccdc3;Ccl11;Ccl3;Cd34;Cd36;Cd83;Cdh5;Cebpd;Chd7;Cldn5;Col1a1;Coro1c;Csf3r,9.732634713953563e-23
C5:GO:BP|GOBP_REGULATION_OF_CELL_ADHESION,612,91,0.14869281045751634,6.51074041295821e-26,Actn4;Acvrl1;Adam15;Adam19;Adam8;Alox12;Alox15;Ass1;Card11;Cass4;Ccl2;Ccr7;Cd300a;Cd36;Cd83;Col1a1;Coro1a;Coro1c;Cytip;Dag1;Dusp1;Efnb2;Emilin2;Epha2;Ets1,2.2598779973377947e-22
H|HALLMARK_INFLAMMATORY_RESPONSE,175,48,0.2742857142857143,9.121569070931467e-26,Adgre1;Ahr;Atp2a2;Btg2;C3ar1;C5ar1;Calcrl;Ccl2;Ccl22;Ccr7;Ccrl2;Cd14;Cd69;Cdkn1a;Csf3r;Cxcl10;Cxcl9;Cybb;Ereg;Gpr183;Hbegf;Hif1a;Icam1;Il1a;Il7r,3.166096624520312e-22
C5:GO:BP|GOBP_DEFENSE_RESPONSE,1150,130,0.11304347826086956,3.9171793765799813e-25,Abcd2;Ace;Adam15;Adam8;Adgre5;Alox15;Aoah;Arel1;Arid5a;Ass1;Bcl6b;Blnk;C3ar1;C5ar1;Calcrl;Ccl11;Ccl2;Ccl22;Ccl3;Ccl4;Ccr7;Ccrl2;Cd14;Cd36;Cd83,1.3596529616109115e-21
C5:GO:BP|GOBP_CELL_ACTIVATION,834,107,0.12829736211031176,5.19147446212731e-25,Adam8;Adgre5;Adgrf5;Ahr;Akap12;Alox12;Blnk;C5ar1;Card11;Ccl2;Ccl3;Ccr7;Cd300a;Cd33;Cd83;Cd93;Cdkn1a;Chd7;Clec4e;Col3a1;Comp;Coro1a;Cst7;Cxcl10;Dgkg,1.8019607858043893e-21
C5:GO:BP|GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,1015,119,0.11724137931034483,2.4344661517493324e-24,Ace;Acvrl1;Adam8;Bdnf;Brca1;C3ar1;C5ar1;Cass4;Ccdc3;Ccl11;Cd34;Cd36;Cd83;Cdh5;Cebpd;Chd7;Cldn5;Col1a1;Coro1c;Cxcl9;Cybb;Dag1;E2f1;Efnb2;Egr2,8.450032012721933e-21
