gene,MNGC,Mac,Stroma,lfc_vs_Mac,padj_vs_Mac,lfc_vs_Str,padj_vs_Str
Gpnmb,1307.1,92.0,17.2,4.66,1.09e-05,6.54,2.61e-10
Adgre1,18.6,58.2,4.6,-0.81,2.51e-01,2.19,9.03e-04
Csf1r,40.0,190.3,15.0,-1.42,3.45e-03,1.67,9.97e-04
Ptprc,26.0,18.3,3.7,1.37,5.95e-02,2.89,2.75e-05
Cd68,1492.2,376.0,71.6,2.82,7.88e-06,4.53,7.72e-14
Itgam,13.2,24.6,2.7,-0.02,9.87e-01,2.33,1.41e-02
Lyz2,9183.4,1956.2,436.3,3.04,2.38e-07,4.58,8.29e-16
Mrc1,9.4,23.2,6.1,-0.46,5.72e-01,0.82,3.96e-01
Ccr2,4.3,9.7,1.7,-0.39,8.51e-01,1.54,5.02e-01
Ly6c2,7.7,12.4,4.4,0.13,9.52e-01,1.04,6.48e-01
Trem2,597.8,115.0,26.4,3.2,9.92e-08,4.75,3.79e-16
Lgals3,4375.5,846.9,183.4,3.2,4.73e-06,4.75,2.15e-12
Acp5,368.1,45.0,22.8,3.87,2.29e-13,4.15,3.82e-15
Mmp12,1053.2,49.6,9.0,5.19,3.04e-08,7.22,2.45e-15
Ctsk,80.8,17.3,6.1,3.02,2.51e-05,3.84,8.08e-08
Ctsb,1187.0,910.3,250.9,1.22,1.74e-02,2.46,4.11e-07
Ctsd,3861.6,1604.8,410.7,2.09,5.89e-04,3.44,4.96e-09
Ctss,3498.5,573.8,113.4,3.46,2.32e-11,5.17,6.07e-25
Ctsl,666.0,360.8,224.3,1.67,4.20e-02,1.74,6.00e-02
Ctsz,1196.0,494.6,238.7,2.1,1.56e-05,2.5,3.72e-07
Cd63,3218.7,925.9,1195.8,2.62,4.10e-10,1.6,6.04e-04
Lamp1,488.3,754.4,372.3,0.22,6.96e-01,0.6,3.13e-01
Atp6v0d2,189.6,23.0,5.4,3.84,1.10e-04,5.48,2.03e-08
Dcstamp,0.9,0.3,0.0,2.45,NA,4.84,NA
Ocstamp,0.7,0.9,0.4,0.51,7.58e-01,1.29,5.06e-01
Fth1,28666.2,7056.6,7252.5,2.86,8.23e-11,2.15,4.00e-06
Ftl1,34124.9,11929.7,10744.1,2.36,6.86e-07,1.85,2.96e-04
Hmox1,152.9,159.7,79.0,0.8,1.84e-01,1.13,8.71e-02
Slc40a1,76.1,97.5,23.1,0.49,5.30e-01,1.99,3.75e-03
Sod1,270.1,166.1,523.8,1.59,7.11e-04,-0.74,2.42e-01
Sod2,21.0,40.1,42.6,-0.04,9.53e-01,-0.77,1.44e-01
Prdx1,2156.8,1123.5,1300.7,1.76,7.44e-03,0.94,2.91e-01
Apoe,23174.4,14690.8,5607.0,1.5,1.50e-04,2.21,1.23e-08
Abca1,11.4,43.1,22.2,-1.07,2.03e-02,-0.78,1.74e-01
Plin2,313.0,279.4,131.7,0.98,1.79e-01,1.47,5.97e-02
Soat1,135.7,276.5,338.1,-0.18,8.58e-01,-1.08,2.46e-01
Cd3d,25.4,0.3,2.3,7.21,5.70e-12,3.88,6.34e-04
Cd3e,31.1,0.3,2.8,7.77,6.64e-13,3.77,1.41e-03
Cd3g,66.0,0.2,8.4,9.4,1.23e-15,3.15,1.77e-02
Cd247,11.6,0.4,0.1,5.61,9.13e-04,7.04,6.31e-05
Cd4,22.8,5.0,0.7,3.18,1.69e-02,5.55,1.94e-05
Cd8a,3.1,0.1,0.1,6.76,4.10e-04,4.93,2.20e-02
Lck,40.2,3.6,5.6,4.45,3.61e-07,3.1,1.25e-03
Zap70,5.3,1.2,0.4,3.03,1.72e-01,3.97,1.12e-01
Themis,1.9,0.2,0.2,4.39,1.28e-03,3.66,1.57e-02
Ctla4,0.9,0.2,0.0,,,,
Col1a1,39.9,244.4,18.4,-1.73,6.98e-04,1.44,1.17e-02
Dcn,1092.6,278.1,735.7,2.79,1.07e-07,0.83,2.62e-01
Lum,196.3,92.6,174.4,1.85,5.25e-03,0.42,7.18e-01
Pdgfrb,15.9,91.9,11.6,-1.71,8.21e-04,0.65,3.79e-01
Cyp11a1,923.1,3116.9,4023.4,-0.93,2.29e-01,-1.94,1.14e-02
Star,69.3,172.7,269.2,-0.48,4.88e-01,-1.73,4.83e-03
Cyp17a1,283.6,217.7,55.5,1.27,6.22e-01,2.63,3.70e-01
