run,gsm,group,fragments,mapped,mapping_rate,genes_detected
SRR31588237,GSM8661352,Stroma,37672467,34132108,90.6,17064
SRR31588238,GSM8661351,Stroma,40826651,35402632,86.71,16641
SRR31588239,GSM8661350,Stroma,40950228,34318739,83.81,15400
SRR31588240,GSM8661349,Stroma,36745967,33003813,89.82,13845
SRR31588241,GSM8661348,MNGC,36811507,29580314,80.36,15711
SRR31588242,GSM8661347,MNGC,37844900,33155792,87.61,15870
SRR31588243,GSM8661346,MNGC,38624387,33389808,86.45,14397
SRR31588244,GSM8661345,MNGC,37851295,31007541,81.92,15686
SRR31588245,GSM8661344,Macrophage,34708820,32293738,93.04,16819
SRR31588246,GSM8661343,Macrophage,37734166,35195884,93.27,17000
SRR31588247,GSM8661342,Macrophage,34571767,32073843,92.77,17052
SRR31588248,GSM8661341,Macrophage,31837053,29731029,93.38,16197
