run,gsm,biosample,experiment,cell_type,mbases,sra_bytes,layout,instrument,released,group
SRR31588237,GSM8661352,SAMN45147611,SRX26953686,Stroma,3767,1175518208,PAIRED,Illumina NovaSeq X Plus,1733184000,Stroma
SRR31588238,GSM8661351,SAMN45147612,SRX26953685,Stroma,4082,1266827888,PAIRED,Illumina NovaSeq X Plus,1733184000,Stroma
SRR31588239,GSM8661350,SAMN45147613,SRX26953684,Stroma,4095,1268202128,PAIRED,Illumina NovaSeq X Plus,1733184000,Stroma
SRR31588240,GSM8661349,SAMN45147614,SRX26953683,Stroma,3674,1138534745,PAIRED,Illumina NovaSeq X Plus,1733184000,Stroma
SRR31588241,GSM8661348,SAMN45147615,SRX26953682,Multinucleated giant cell,3681,1141528970,PAIRED,Illumina NovaSeq X Plus,1733184000,MNGC
SRR31588242,GSM8661347,SAMN45147616,SRX26953681,Multinucleated giant cell,3784,1177266724,PAIRED,Illumina NovaSeq X Plus,1733184000,MNGC
SRR31588243,GSM8661346,SAMN45147617,SRX26953680,Multinucleated giant cell,3862,1199795661,PAIRED,Illumina NovaSeq X Plus,1733184000,MNGC
SRR31588244,GSM8661345,SAMN45147618,SRX26953679,Multinucleated giant cell,3785,1176820659,PAIRED,Illumina NovaSeq X Plus,1733184000,MNGC
SRR31588245,GSM8661344,SAMN45147619,SRX26953678,priamary macrophage,3470,1080310964,PAIRED,Illumina NovaSeq X Plus,1733184000,Macrophage
SRR31588246,GSM8661343,SAMN45147620,SRX26953677,priamary macrophage,3773,1174788544,PAIRED,Illumina NovaSeq X Plus,1733184000,Macrophage
SRR31588247,GSM8661342,SAMN45147621,SRX26953676,priamary macrophage,3457,1079679593,PAIRED,Illumina NovaSeq X Plus,1733184000,Macrophage
SRR31588248,GSM8661341,SAMN45147622,SRX26953675,priamary macrophage,3183,995392470,PAIRED,Illumina NovaSeq X Plus,1733184000,Macrophage
