gene,MNGC_TPM,Macrophage_TPM,Stroma_TPM,log2FC_MNGC_vs_Macrophage,padj_MNGC_vs_Macrophage,log2FC_MNGC_vs_Stroma,padj_MNGC_vs_Stroma,log2FC_Macrophage_vs_Stroma,padj_Macrophage_vs_Stroma
Mafb,64.46,123.05,36.76,-0.041,0.9641744508758534,1.137,0.1092543831790541,1.179,0.063849977496499
Maf,14.25,10.9,14.31,1.241,0.0066724986351068,0.207,0.8156614207952568,-1.033,0.0335303300762869
Spi1,122.88,83.16,16.96,1.407,0.0074128871168991,3.047,5.479939814262774e-10,1.64,0.0018128008102055
Mef2c,26.42,100.58,30.6,-1.038,0.1861186639210034,-0.004,0.9976559770395064,1.034,0.218818009662201
Irf8,49.39,77.62,16.12,0.237,0.6873287900252273,1.871,4.1637907275392464e-05,1.635,0.0002768395803442
Nfatc1,7.3,21.28,3.58,-0.603,0.558168303942751,1.349,0.2182106439456759,1.952,0.0290656625231482
Tfec,4.95,2.59,0.07,1.835,0.3778020752417932,6.537,0.0006279672166116,4.701,0.0150667056324587
Mitf,6.42,4.76,1.07,1.268,0.0969422211890421,2.715,0.0002162416347856,1.447,0.0664134827571915
Tfeb,29.69,33.66,16.74,0.677,0.2233941655742811,1.063,0.0761948242456945,0.385,0.5761812277747174
Tfe3,20.78,43.68,19.22,-0.19,0.7136350792587874,0.34,0.5961544285711009,0.53,0.2642416930395249
Cebpb,750.38,2903.03,1187.32,-1.093,0.0023356456375416,-0.482,0.3422447433114163,0.612,0.1367545268854438
Bhlhe40,32.65,529.1,18.35,-3.185,2.395377674798298e-16,1.102,0.0211556977159707,4.287,1.2543733053969673e-29
Klf4,4.79,121.79,2.14,-3.704,3.476776906759369e-09,1.429,0.0737919772350108,5.133,3.4710501201541646e-17
Zeb2,34.99,50.37,29.94,0.318,0.4963245941611348,0.376,0.5355596058502743,0.058,0.9283856247165814
Gata6,12.46,63.3,30.39,-1.517,0.1150308281792553,-1.037,0.4320414250865136,0.48,0.7124555949834274
Id2,304.36,518.76,338.23,0.063,0.9320118150092724,0.021,0.9838244696189266,-0.042,0.9616115147760316
Batf3,31.37,22.12,16.38,1.343,0.4040257445733753,0.945,0.6912305936235077,-0.398,0.8568236428507369
Prdm1,3.5,8.51,0.33,-0.306,0.866434070179545,3.773,0.0074426400660205,4.079,0.0018196368141917
Nfe2l2,61.94,121.97,81.26,-0.147,0.7646517495392795,-0.151,0.8376166919814185,-0.003,0.9958789672926446
Fos,10.12,8785.59,5.19,-8.965,7.219017341474999e-16,1.054,0.5926257730750218,10.019,7.991865712008725e-20
Jun,78.43,5199.57,46.54,-5.149,1.2509229199677844e-39,1.071,0.0355075676134632,6.22,8.690696350046135e-59
Junb,85.15,6300.24,44.27,-5.369,1.013714944871989e-24,1.161,0.1048388857362984,6.53,1.2303143001895682e-36
Atf3,87.25,812.81,3.33,-2.419,0.0045852067298996,4.852,1.965883810794349e-09,7.271,3.2220545186805427e-21
Nr4a1,5.05,1391.2,11.0,-7.222,2.593639997429909e-11,-0.809,0.6887911630255292,6.413,5.673738403934605e-09
